Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.032954,-0.109738,-9.624472,-0.000008,0.001004,-0.001072,-591.508911,-332.189972,977.458252
-0.002834,-0.166998,-9.638787,-0.003104,-0.001227,0.001159,-591.508911,-332.189972,977.458252
-0.060094,-0.052477,-9.681732,-0.003004,-0.001127,-0.002137,-591.508911,-332.189972,977.458252
0.047269,-0.124053,-9.538581,-0.000773,-0.001027,-0.004168,-591.508911,-332.189972,977.458252
0.025797,-0.066793,-9.610157,0.000392,0.003334,-0.003002,-585.642090,-320.365082,974.371399
0.040112,-0.045320,-9.617313,0.001358,0.006430,-0.001837,-585.642090,-320.365082,974.371399
-0.002834,-0.052477,-9.595841,0.003388,0.010591,0.000394,-585.642090,-320.365082,974.371399
0.040112,-0.159841,-9.631629,0.004354,0.005165,0.001359,-585.642090,-320.365082,974.371399
0.004324,-0.031005,-9.631629,0.003188,0.001869,0.002324,-585.642090,-320.365082,974.371399
0.040112,-0.166998,-9.538581,0.004154,-0.001427,-0.002037,-585.642090,-320.365082,974.371399
0.068742,-0.059635,-9.660259,0.005119,0.000804,-0.006198,-585.642090,-320.365082,974.371399
0.075900,-0.066793,-9.595841,0.000758,0.000704,-0.008229,-585.642090,-320.365082,974.371399
0.004324,-0.016690,-9.617313,-0.000408,0.001669,-0.004933,-585.642090,-320.365082,974.371399
-0.052936,-0.081108,-9.624472,-0.004569,0.001569,-0.000572,-585.642090,-320.365082,974.371399
0.004324,-0.066793,-9.631629,-0.002338,-0.000662,0.000594,-585.455994,-329.313965,972.879272
-0.002834,-0.152683,-9.588684,-0.002238,0.001569,0.001559,-585.455994,-329.313965,972.879272
-0.017149,-0.095423,-9.681732,0.001058,0.000404,-0.001737,-585.455994,-329.313965,972.879272
0.018639,-0.102580,-9.560054,0.005219,0.000304,-0.008029,-585.455994,-329.313965,972.879272
0.040112,-0.124053,-9.545738,0.001923,0.000204,-0.010059,-585.455994,-329.313965,972.879272
0.025797,-0.031005,-9.552896,-0.001373,0.000104,-0.012090,-585.455994,-329.313965,972.879272
0.068742,-0.031005,-9.653102,-0.003404,-0.004258,-0.005598,-585.455994,-329.313965,972.879272
0.047269,-0.124053,-9.624472,-0.003304,-0.005223,-0.006564,-585.455994,-329.313965,972.879272
0.018639,-0.016690,-9.617313,-0.005334,-0.002992,-0.005398,-585.455994,-329.313965,972.879272
0.054427,-0.081108,-9.617313,-0.007365,0.001369,-0.003168,-585.455994,-329.313965,972.879272
0.018639,-0.059635,-9.581527,-0.005134,-0.005123,0.003324,-590.079285,-323.263855,971.440186
0.018639,-0.138368,-9.660259,-0.000773,-0.007154,0.004289,-590.079285,-323.263855,971.440186
0.068742,-0.088265,-9.610157,0.001458,-0.010249,0.006320,-590.079285,-323.263855,971.440186
0.032954,-0.109738,-9.617313,0.001358,-0.004823,0.001959,-590.079285,-323.263855,971.440186
0.068742,-0.138368,-9.631629,0.001258,-0.002592,-0.000272,-590.079285,-323.263855,971.440186
0.054427,-0.116895,-9.681732,0.002223,-0.002492,-0.003368,-590.079285,-323.263855,971.440186
-0.002834,-0.023847,-9.674574,-0.001073,-0.005588,-0.004333,-590.079285,-323.263855,971.440186
0.018639,-0.059635,-9.567211,-0.003104,-0.007619,-0.002102,-590.079285,-323.263855,971.440186
0.040112,-0.081108,-9.610157,-0.004069,-0.003258,-0.002002,-590.079285,-323.263855,971.440186
0.011482,-0.038162,-9.696048,-0.000773,0.000038,0.001294,-590.079285,-323.263855,971.440186
-0.031464,-0.138368,-9.602999,0.003588,0.003134,0.001194,-584.013916,-327.851776,975.853210
0.032954,-0.109738,-9.481320,0.007749,0.003034,-0.004233,-584.013916,-327.851776,975.853210
0.032954,-0.081108,-9.617313,0.004454,0.000804,-0.008394,-584.013916,-327.851776,975.853210
